Animal,Phase,Trial,Behaviour marked,Date,Time marking,Time recall,Total time,Behaviour offered,Double blind,Distractions,Trainer mark,Trainer recall
Eva,5,10,Splash,´08/27/2020,09:15,12:22,187,Spin,0,126,Andrea,Andrea
Eva,5,11,Spin,08/27/2020,12:40,16:53,253,Spin,0,171,Andrea,Andrea
Eva,5,12,Clap,08/28/2020,10:30,14:40,250,Spin,1,169,Gris,Abril
Eva,5,13,Spin,08/31/2020,10:26,14:11,225,Clap,1,152,Gris,Andrea
Eva,5,14,Sing,09/01/2020,10:36,14:24,222,Clap,0,150,Gris,Gris
Eva,5,15,Clap,09/02/2020,10:40,14:39,239,Spin,0,161,Carlos,Carlos
Eva,5,16,Sing,09/03/2020,10:07,14:09,242,Sing,1,163,Gris,Juan Carlos
Eva,5,17,Clap,09/04/2020,09:37,14:00,263,Sing,1,178,Gris,Andrea
Eva,5,18,Tail wave,09/05/2020,10:33,13:18,225,Sing,1,152,Gris,Andrea
Karina,5,1,Go down,18/08/2020,14:09,16:56,167,Go down,1,113,Abby,Andrea
Karina,5,2,Tail wave,08/19/2020,12:35,16:00,205,Tail wave,0,138,Abby,Abby
Karina,5,3,Tail wave,08/20/2020,10:27,14:10,223,Go down,1,151,Abby,Andrea
Karina,5,4,Sing,08/21/2020,10:37,13:54,197,Jump,1,133,Abby,Andrea
Karina,5,5,Spin,08/22/2020,09:50,14:14,264,Spin,0,178,Andrea,Andrea
Karina,5,6,Clap,08/23/2020,09:27,14:07,280,Spin,1,189,Abby,Andrea
Karina,5,7,Go down   ,08/26/2020,10:30,14:25,235,Go down,0,159,Abby,Abby
Karina,5,8,Tail wave,08/27/2020,09:55,13:53,238,Tail wave,1,161,Abby,Ceci
Karina,5,9,Jump,08/28/2020,10:25,14:30,245,Spin,1,165,Abby,Gris
Karina,5,10,Clap,08/30/2020,10:45,14:25,220,Clap,0,149,Abby,Abby
Karina,5,11,Go down,08/31/2020,10:30,14:12,222,Go down,1,150,Abby,Andrea
Karina,5,12,Spin,09/02/2020,09:44,14:36,292,Tail wave,1,197,Abby,Jorge
Karina,5,13,Jump,09/03/2020,10:22,14:08,226,Jump,0,153,Abby,Abby
Karina,5,14,Clap,09/04/2020,09:46,14:03,257,Spin,1,173,Abby,Andrea
Karina,5,15,Sing,09/05/2020,11:03,14:35,212,Spin,1,143,Abby,Andrea
Karina,5,16,Spin,09/07/2020,10:50,14:32,222,Jump,1,150,Abby,Jorge
Karina,5,17,Jump,09/09/2020,10:52,14:12,200,Jump,1,135,Abby,Jorge
Karina,5,18,Sing,09/10/2020,10:13,14:15,242,Sing,1,163,Abby,Rafa
Lluvia,5,1,Clap,08/19/2020,10:04,14:09,245,Clap,0,165,Andrea,Andrea
Lluvia,5,2,Splash,08/20/2020,09:56,14:09,253,Sing,1,171,Tania,Andrea
Lluvia,5,3,Spin,08/21/2020,10:37,13:54,197,Clap,0,133,Nayeli,Nayeli
Lluvia,5,4,Clap,08/22/2020,10:13,14:16,243,Sing,1,164,Nayeli,Andrea
Lluvia,5,5,Splash,08/23/2020,09:27,14:12,285,Sing,1,192,Nayeli,Andrea
Lluvia,5,6,Jump,08/25/2020,10:05,14:00,235,Clap,1,159,Nayeli,Andrea
Lluvia,5,7,Clap,08/27/2020,10:32,14:10,218,Clap,1,147,Tania,Andrea
Lluvia,5,8,Spin,08/24/2020,09:58,14:39,281,Clap,0,190,Andrea,Andrea
Lluvia,5,9,Jump,08/26/2020,10:30,14:25,235,Jump,1,159,Tania,Andrea
Lluvia,5,10,Sing,08/31/2020,14:20,17:00,160,Clap,1,108,Nayeli,Abby
Lluvia,5,11,Tail wave,01/09/2020,10:53,14:22,209,Tail wave,0,141,Nayeli,Nayeli
Lluvia,5,12,Sing,02/09/2020,09:42,14:37,295,Tail wave,1,199,Nayeli,Andrea
Lluvia,5,13,Splash,03/09/2020,09:36,14:09,273,Sing,1,184,Nayeli,Tania
Lluvia,5,14,Tail wave,04/09/2020,10:47,13:59,192,Jump,0,130,Nayeli,Nayeli
Lluvia,5,15,Jump,09/05/2020,10:30,14:33,243,Tail wave,1,164,Tania,Andrea
Lluvia,5,16,Tail wave,09/07/2020,12:00,16:05,245,Jump,1,165,Tania,Andrea
Lluvia,5,17,Spin,09/09/2020,10:52,14:13,201,Tail wave,1,136,Tania,Abby
Lluvia,5,18,Sing,09/10/2020,09:59,13:51,232,Tail wave,1,157,Tania,Andrea
Nouba,5,1,Sing,19/08/2020,10:14,14:11,237,Sing,0,160,Andrea,Andrea
Nouba,5,2,Splash,08/22/2020,10:22,14:22,240,Splash,1,162,Abril,Andrea
Nouba,5,3,Spin,08/23/2020,09:48,14:08,260,Spin,1,176,Nayeli,Andrea
Nouba,5,4,Jump,08/25/2020,09:56,14:00,244,Clap,1,165,Abril,Andrea
Nouba,5,5,Sing,08/24/2020,09:46,15:02,316,Sing,1,213,Abril,Andrea
Nouba,5,6,Sing,08/26/2020,11:30,14:30,180,Sing,1,122,Abril,Andrea
Nouba,5,7,Tail wave,08/27/2020,10:40,15:50,310,Spin,0,209,Abril,Abril
Nouba,5,8,Clap,08/28/2020,10:30,14:40,250,Clap,1,169,Abril,Gris
Nouba,5,9,Jump,09/01/2020,10:35,14:50,255,Clap,1,172,Abril,Andrea
Nouba,5,10,Splash,08/31/2020,14:20,17:00,160,Splash,1,108,Abril,Andrea
Nouba,5,11,Clap,09/02/2020,12:07,16:01,234,Clap,0,158,Abril,Abril
Nouba,5,12,Tail wave,09/03/2020,10:13,14:08,235,Clap,1,159,Jorge,Abril
Nouba,5,13,Clap,09/11/2020,09:38,14:17,279,Spin,1,188,Abril,Andrea
Nouba,5,14,Spin,09/09/2020,12:28,15:45,197,Sing,1,133,Abril,Juan Carlos
Nouba,5,15,Jump,09/10/2020,10:36,14:12,216,Spin,0,146,Carlos,Carlos
Nouba,5,16,Tail wave,09/12/2020,10:17,15:04,287,Spin,1,194,Abril,Hector
Nouba,5,17,Spin,09/14/2020,11:53,16:38,225,Spin,1,152,Abril,Andrea
Nouba,5,18,Splash,09/19/2020,10:08,13:54,226,Clap,1,153,Abril,Carlos
Nemo,5,1,Spin,08/27/2020,09:30,12:40,190,Sing,0,128,Benja,Benja
Nemo,5,2,Splash,08/26/2020,10:30,13:30,180,Clap,1,122,Benja,Vero
Nemo,5,3,Clap,08/28/2020,10:00,13:47,227,Spin,1,153,Benja,Jenny
Nemo,5,4,Sing,08/30/2020,09:56,14:10,254,Spin,1,171,Emma,Vero
Nemo,5,5,Tail wave,09/03/2020,10:07,14:10,243,Tail wave,1,164,Benja,Jenny
Nemo,5,6,Jump,09/04/2020,09:30,12:40,190,Tail wave,1,128,Benja,Jenny
Nemo,5,7,Tail wave,08/25/2020,09:45,13:05,200,Clap,1,135,Benja,Rafa
Nemo,5,8,Jump,09/05/2020,10:30,14:10,220,Jump,1,149,Rafa,Jenny
Nemo,5,9,Splash,09/12/2020,11:07,15:14,253,Sing,0,171,Andrea,Andrea
Nemo,5,10,Spin,09/14/2020,09:59,13:23,204,Sing,1,138,Jenny,Andrea
